Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
27,27,1982-01-15,24-134,PHI,,ATL,L (-6),1,11:00,2,3,.667,0,0,,0,0,,,,2,0,,0,,2,4,
28,28,1982-01-17,24-136,PHI,@,NJN,L (-8),0,16:00,1,5,.200,0,0,,0,0,,,,11,1,,0,,0,2,
29,29,1982-01-20,24-139,PHI,,POR,W (+5),0,21:00,4,6,.667,0,0,,3,4,.750,1,3,4,1,2,0,1,3,11,10.1
30,30,1982-01-22,24-141,PHI,@,IND,W (+7),0,23:00,5,9,.556,0,0,,0,0,,,,10,1,2,2,1,4,10,
31,31,1982-01-23,24-142,PHI,,SEA,W (+13),0,16:00,2,9,.222,0,0,,1,3,.333,7,2,9,1,0,0,0,4,5,3.3
32,32,1982-01-26,24-145,PHI,@,SAS,L (-8),0,11:00,2,4,.500,0,0,,0,0,,,,2,1,0,2,0,0,4,
33,33,1982-01-27,24-146,PHI,@,DAL,W (+13),0,16:00,2,2,1.000,0,0,,0,0,,,,1,0,,1,1,5,4,
34,34,1982-01-28,24-147,PHI,@,HOU,L (-8),0,16:00,0,5,.000,0,0,,0,2,.000,,,4,0,0,0,,3,0,
35,35,1982-02-03,24-153,PHI,,WSB,W (+26),0,11:00,3,5,.600,0,0,,1,1,1.000,,,3,0,,1,,1,7,
36,36,1982-02-05,24-155,PHI,,NJN,W (+4),0,20:00,5,8,.625,0,0,,1,2,.500,,,7,0,,1,,5,11,
37,37,1982-02-07,24-157,PHI,,CHI,W (+16),0,19:00,4,10,.400,0,0,,1,2,.500,1,6,7,3,1,0,1,2,9,7.0
38,38,1982-02-10,24-160,PHI,,IND,W (+6),0,12:00,1,1,1.000,0,0,,0,0,,,,2,0,,0,,1,2,
39,39,1982-02-13,24-163,PHI,@,NYK,W (+7),0,18:00,2,4,.500,0,0,,0,0,,,,5,1,,1,,4,4,
40,40,1982-02-14,24-164,PHI,,NYK,W (+12),0,20:00,5,9,.556,0,0,,0,0,,,,4,0,,0,,2,10,
41,41,1982-02-17,24-167,PHI,,DAL,W (+5),0,27:00,4,6,.667,0,0,,3,6,.500,,,12,2,,2,3,3,11,
42,42,1982-02-19,24-169,PHI,,UTA,W (+15),0,26:00,3,7,.429,0,0,,0,0,,,,11,1,,1,,4,6,
43,43,1982-02-21,24-171,PHI,,PHO,W (+7),0,13:00,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,1,3,2,0.8
44,44,1982-02-23,24-173,PHI,@,SDC,W (+14),0,12:00,1,3,.333,0,0,,2,2,1.000,1,3,4,1,0,0,2,2,4,1.8
45,45,1982-02-26,24-176,PHI,@,LAL,L (-2),0,25:00,1,6,.167,0,0,,0,2,.000,,,8,4,,0,,1,2,
46,46,1982-02-27,24-177,PHI,@,DEN,L (-9),0,10:00,1,2,.500,0,0,,1,2,.500,1,3,4,1,0,0,0,3,3,2.7
47,47,1982-03-02,24-180,PHI,@,CHI,L (-3),0,27:00,3,8,.375,0,0,,1,2,.500,3,5,8,1,3,1,2,5,7,6.2
48,48,1982-03-03,24-181,PHI,,SDC,W (+18),0,10:00,1,4,.250,0,0,,0,0,,3,2,5,0,0,0,0,1,2,1.9
49,49,1982-03-05,24-183,PHI,,ATL,W (+9),0,9:00,1,1,1.000,0,0,,0,1,.000,,,1,0,,1,,2,2,
50,50,1982-03-07,24-185,PHI,,LAL,W (+6),0,15:00,4,4,1.000,0,0,,0,1,.000,,,5,0,,0,,3,8,
51,51,1982-03-10,24-188,PHI,,GSW,W (+20),0,13:00,2,4,.500,0,0,,3,4,.750,2,4,6,0,0,1,0,0,7,7.9
52,52,1982-03-14,24-192,PHI,@,KCK,W (+14),0,17:00,1,4,.250,0,0,,2,2,1.000,,,2,0,1,1,0,3,4,
53,53,1982-03-16,24-194,PHI,@,MIL,L (-15),0,9:00,0,2,.000,0,0,,0,0,,,,1,0,0,0,0,2,0,
54,54,1982-03-17,24-195,PHI,,WSB,W (+9),0,6:00,0,0,,0,0,,0,0,,,,3,0,,0,,0,0,
55,55,1982-03-19,24-197,PHI,,IND,W (+17),0,14:00,1,6,.167,0,1,.000,3,4,.750,,,5,0,0,0,,1,5,
56,56,1982-03-21,24-199,PHI,,BOS,L (-12),0,8:00,0,2,.000,0,0,,1,1,1.000,0,2,2,0,,0,,1,1,
57,57,1982-03-24,24-202,PHI,,NJN,L (-5),0,20:00,2,7,.286,0,0,,1,2,.500,,,3,0,,1,,4,5,
58,58,1982-03-28,24-206,PHI,@,BOS,W (+18),0,1:00,1,2,.500,0,0,,0,0,,0,0,0,0,,0,,0,2,
59,59,1982-03-31,24-209,PHI,,CHI,W (+1),0,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7
60,60,1982-04-02,24-211,PHI,,CLE,W (+20),0,4:00,3,5,.600,0,0,,0,0,,3,1,4,0,0,0,0,0,6,6.1
61,61,1982-04-04,24-213,PHI,,NYK,W (+21),0,5:00,2,3,.667,0,0,,0,0,,,,1,0,,0,,0,4,
62,62,1982-04-06,24-215,PHI,@,CHI,W (+13),0,14:00,1,3,.333,0,0,,1,2,.500,3,3,6,1,1,1,1,4,3,3.7
63,63,1982-04-09,24-218,PHI,@,ATL,L (-15),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,,0,,0,0,
64,64,1982-04-13,24-222,PHI,@,IND,W (+4),0,5:00,0,1,.000,0,0,,0,0,,,,2,0,,0,,0,0,
65,65,1982-04-14,24-223,PHI,,DET,W (+8),0,7:00,0,1,.000,0,0,,2,2,1.000,,,2,0,0,0,,1,2,
66,66,1982-04-18,24-227,PHI,,MIL,W (+24),0,7:00,1,3,.333,0,0,,0,2,.000,,,2,0,1,0,0,2,2,
1,1,1982-10-29,25-056,PHI,@,NYK,W (+15),0,6:00,1,2,.500,0,0,,0,1,.000,,,2,1,,0,,1,2,
2,2,1982-10-30,25-057,PHI,,NJN,W (+11),0,7:00,0,2,.000,0,0,,0,0,,,,1,0,,0,,0,0,
3,3,1982-11-03,25-061,PHI,,SDC,W (+19),0,13:00,3,6,.500,0,0,,2,2,1.000,1,2,3,1,1,2,1,1,8,8.0
4,4,1982-11-05,25-063,PHI,@,DET,W (+11),0,15:00,1,3,.333,0,0,,0,0,,,,6,0,,0,,3,2,
5,5,1982-11-06,25-064,PHI,,BOS,W (+4),0,2:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-0.4
6,6,1982-11-10,25-068,PHI,,CHI,W (+37),0,18:00,8,12,.667,0,0,,3,5,.600,5,6,11,1,0,1,1,2,19,17.9
7,7,1982-11-12,25-070,PHI,,IND,L (-9),0,7:00,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,2,2,2,-0.1
8,8,1982-11-13,25-071,PHI,@,NJN,W (+10),0,16:00,3,6,.500,0,0,,0,2,.000,,,2,0,,0,,6,6,
9,9,1982-11-14,25-072,PHI,,WSB,W (+9),0,15:00,3,5,.600,0,0,,0,0,,2,2,4,1,0,0,3,1,6,3.0
10,10,1982-11-17,25-075,PHI,,DET,W (+17),0,8:00,2,3,.667,0,0,,0,0,,0,0,0,0,1,0,0,0,4,3.7
11,11,1982-11-19,25-077,PHI,,MIL,W (+12),0,10:00,3,6,.500,0,0,,1,1,1.000,,,4,0,0,0,0,1,7,
12,12,1982-11-23,25-081,PHI,,POR,L (-3),0,9:00,2,5,.400,0,0,,0,0,,1,3,4,2,1,0,0,1,4,4.9
